query_name,author_paper_pairs,unique_resolved_authors,first_year,last_year,dictionary_result,offline_predictions,unknown_reason
Jie,712,138,2016,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Female[uk=Unknown,us=Unknown,ar=Unknown,uy=Female] | nomquamgender=Unknown[used=jie;p_female=0.465;sources=22;count=3446] | names_dataset=Unknown[p_female=0.503;p_male=0.497] | gename=Male[M]",offline_library_conflict
Yu,623,164,2016,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Male,uy=Unknown] | nomquamgender=Unknown[used=yu;p_female=0.516;sources=29;count=5171] | names_dataset=Unknown[p_female=0.522;p_male=0.478] | gename=Female[F]",offline_library_conflict
Yang,417,118,2017,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Unknown,uy=Male] | nomquamgender=Unknown[used=yang;p_female=0.402;sources=19;count=2207] | names_dataset=Unknown[p_female=0.451;p_male=0.549] | gename=Female[F]",offline_library_conflict
Qi,307,87,2015,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Unknown,us=Male,ar=Unknown,uy=Unknown] | nomquamgender=Unknown[used=qi;p_female=0.417;sources=19;count=1181] | names_dataset=Unknown[p_female=0.573;p_male=0.427] | gename=Female[F]",offline_library_conflict
Xiang,287,60,2018,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Male,us=Male,ar=Unknown,uy=Unknown] | nomquamgender=Unknown[used=xiang;p_female=0.269;sources=19;count=1040] | names_dataset=Unknown[p_female=0.304;p_male=0.696] | gename=Female[F]",offline_library_conflict
Jan,249,75,2016,2025,male,"gender_guesser=Male[male] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Male,uy=Male] | nomquamgender=Unknown[used=jan;p_female=0.235;sources=32;count=252311] | names_dataset=Unknown[p_female=0.109;p_male=0.891] | gename=Female[F]",offline_library_conflict
Kai,243,68,2017,2025,male,"gender_guesser=Male[male] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Male,uy=Male] | nomquamgender=Unknown[used=kai;p_female=0.145;sources=29;count=98366] | names_dataset=Unknown[p_female=0.106;p_male=0.894] | gename=Female[F]",offline_library_conflict
Qian,237,65,2018,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Unknown,us=Male,ar=Unknown,uy=Unknown] | nomquamgender=Unknown[used=qian;p_female=0.633;sources=18;count=836] | names_dataset=Unknown[p_female=0.757;p_male=0.243] | gename=Female[F]",offline_library_conflict
Jill,229,1,2013,2025,female,"gender_guesser=Female[female] | gender_detector=Female[uk=Female,us=Female,ar=Female,uy=Female] | nomquamgender=Female[used=jill;p_female=0.957;sources=31;count=234696] | names_dataset=Female[p_female=0.986;p_male=0.014] | gename=Female[F]",identity_conflict
Yuan,229,69,2018,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Unknown,uy=Male] | nomquamgender=Unknown[used=yuan;p_female=0.436;sources=23;count=1925] | names_dataset=Unknown[p_female=0.492;p_male=0.508] | gename=Female[F]",offline_library_conflict
Yong,217,59,2015,2025,mostly_male,"gender_guesser=Male[mostly_male] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Unknown,uy=Male] | nomquamgender=Unknown[used=yong;p_female=0.146;sources=25;count=2166] | names_dataset=Unknown[p_female=0.326;p_male=0.674] | gename=Female[F]",offline_library_conflict
Qiang,212,56,2017,2025,andy,gender_guesser=Unknown[andy] | gender_detector=Unknown[not_found] | nomquamgender=Male[used=qiang;p_female=0.098;sources=17;count=599] | names_dataset=Male[p_female=0.059;p_male=0.941] | gename=Female[F],offline_library_conflict
Fang,174,47,2015,2025,andy,gender_guesser=Unknown[andy] | gender_detector=Unknown[not_found] | nomquamgender=Unknown[used=fang;p_female=0.614;sources=18;count=976] | names_dataset=Unknown[p_female=0.739;p_male=0.261] | gename=Unknown[not_found],no_offline_prediction
Fei,174,64,2019,2025,andy,gender_guesser=Unknown[andy] | gender_detector=Unknown[not_found] | nomquamgender=Unknown[used=fei;p_female=0.513;sources=19;count=665] | names_dataset=Unknown[p_female=0.474;p_male=0.526] | gename=Unknown[not_found],no_offline_prediction
Mika,172,11,2015,2025,male,"gender_guesser=Male[male] | gender_detector=Female[uk=Unknown,us=Unknown,ar=Unknown,uy=Female] | nomquamgender=Unknown[used=mika;p_female=0.439;sources=28;count=50697] | names_dataset=Unknown[p_female=0.338;p_male=0.662] | gename=Female[F]",offline_library_conflict
Yun,168,43,2017,2025,andy,"gender_guesser=Unknown[andy] | gender_detector=Male[uk=Unknown,us=Unknown,ar=Unknown,uy=Male] | nomquamgender=Unknown[used=yun;p_female=0.555;sources=21;count=1507] | names_dataset=Unknown[p_female=0.660;p_male=0.340] | gename=Female[F]",offline_library_conflict
